,CCN,CODCNH,Nombre Centro,Dirección,Teléfono,Cód. Municipio,Municipio,Cód. Provincia,Provincia,Cód. CCAA,CCAA,Código Postal,CAMAS,Cód. Clase de Centro,Clase de Centro,Cód. Dep. Funcional,Dependencia Funcional,Forma parte Complejo,CODIDCOM,Nombre del Complejo,ALTA,Email
10,1232000114,320087,Centro Medico El Carmen,Avenida Habana (De La) 50,988223400,320548,Ourense,32,Ourense,12,Galicia,32003,43,C11,Hospitales Generales,20,Privados,N,,,N,info@centromedicoelcarmen.es
11,1232000111,320013,Complexo Hospitalario Universitario De Ourense,Calle Ramón Puga 52,988385500,320548,Ourense,32,Ourense,12,Galicia,32005,859,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
12,1012000256,120148,Instituto De Traumatología De Unión De Mutuas (Matepss Nº 267),Avenida Virgen De Lidón 67,964231212,120402,Castelló de la Plana,12,Castellón,10,Comunidad Valenciana,12004,28,C12,Hospitales especializados,21,Mutuas Colaboradoras Con La Seguridad Social,N,,,N,amarti@uniondemutuas.es
13,1012000255,120159,Hospital Rey D. Jaime,Calle María Rosa Molas 25,964726000,120402,Castelló de la Plana,12,Castellón,10,Comunidad Valenciana,12004,96,C11,Hospitales Generales,20,Privados,N,,,N,reydjaime@hospitales.nisa.es
14,1012000183,120043,Consorcio Hospitalario Provincial De Castellón,Avenida Doctor Clara 19,964354303;964359700,120402,Castelló de la Plana,12,Castellón,10,Comunidad Valenciana,12002,257,C11,Hospitales Generales,4,Otros Centros O Establecimientos Públicos De Dependencia Autonómica,N,,,N,direccion.gerencia@hospitalprovincial.es
15,1012000182,120038,Hospital La Magdalena,Camino Collet 32,964356800,120402,Castelló de la Plana,12,Castellón,10,Comunidad Valenciana,12004,128,C13,Hospitales de media y larga estancia,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
16,1012000180,120017,Hospital General Universitario De Castellón,Avenida Benicasim S/N,964725000;964726510,120402,Castelló de la Plana,12,Castellón,10,Comunidad Valenciana,12004,521,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,sugerencias_dscs@gva.es
17,1012000178,120136,Hospital Universitario De La Plana,"Carretera Vila-Real A Borriana KM 0,5",964399775;964399845,121359,Vila-real,12,Castellón,10,Comunidad Valenciana,12540,258,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,laplana@gva.es
18,1012000288,120115,Hospital Comarcal De Vinaròs,Avenida Gil De Atrocillo S/N,964400032;964477000,121384,Vinaròs,12,Castellón,10,Comunidad Valenciana,12500,174,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,suay_ale@gva.es
19,813000450,130052,Hospital General La Mancha Centro,Avenida De La Constitución 3,926580500,130052,Alcázar de San Juan,13,Ciudad Real,8,Castilla-La Mancha,13600,362,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
20,813000043,130049,Hospital Quironsalud Ciudad Real,Calle Alisos 19,926255008,130343,Ciudad Real,13,Ciudad Real,8,Castilla-La Mancha,13002,55,C11,Hospitales Generales,20,Privados,N,,,N,ciudad.real@quironsalud.es
21,813000583,130034,Servicios Sanitarios Y Asistenciales,Ronda Del Carmen S/N,926231275,130343,Ciudad Real,13,Ciudad Real,8,Castilla-La Mancha,13002,87,C14,Hospitales de salud mental y tratamiento de toxicomanías,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,administracionssa@dipucr.es
22,813000595,130127,Hospital General Universitario  De Ciudad Real,Calle Obispo Rafael Torija S/N,926278000,130343,Ciudad Real,13,Ciudad Real,8,Castilla-La Mancha,13005,564,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
23,813000577,130065,Hospital Virgen De Altagracia,Avenida D. Emiliano García Roldan 2,000000000,130533,Manzanares,13,Ciudad Real,8,Castilla-La Mancha,13200,118,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
24,813000578,130071,Hospital Santa Bárbara,Carretera Malagón S/N,926421100,130718,Puertollano,13,Ciudad Real,8,Castilla-La Mancha,13500,141,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
25,813000931,130128,Hospital General De Tomelloso,Calle Vereda De Socuellamos S/N,926525800,130821,Tomelloso,13,Ciudad Real,8,Castilla-La Mancha,13700,155,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,gai.tomelloso@sescam.jccm.es
26,813000584,130087,Hospital General De Valdepeñas,Avenida De Los Estudiantes S/N,926320200,130874,Valdepeñas,13,Ciudad Real,8,Castilla-La Mancha,13300,103,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
27,1215000183,150341,Hospital Público Virxe Da Xunqueira,Paseo Alcalde Pepe Sánchez 7,981706010,150238,Cee,15,A Coruña,12,Galicia,15270,74,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
28,114000529,140116,Hospital Infanta Margarita,Avenida Góngora S/N,957021300,140137,Cabra,14,Córdoba,1,Andalucía,14940,232,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,140274.0,Hospital Infanta Margarita,N,
29,114000536,140082,Hospital San Juan De Dios De Córdoba,Avenida Del Brillante 106,957274600,140214,Córdoba,14,Córdoba,1,Andalucía,14012,193,C11,Hospitales Generales,20,Privados,N,,,N,cordoba.hospital@sjd.es
30,114003668,140241,Hospital Quironsalud Córdoba,"Avenida Del Aeropuerto,  S/N",957410000,140214,Córdoba,14,Córdoba,1,Andalucía,14004,115,C11,Hospitales Generales,20,Privados,N,,,N,info.cor@quironsalud.es
31,114000537,140076,Hospital Cruz Roja De Córdoba,Paseo De La Victoria S/N,957420666,140214,Córdoba,14,Córdoba,1,Andalucía,14004,138,C11,Hospitales Generales,20,Privados,N,,,N,luciaretenaga@hcrc.es
32,114000533,140044,Hospital Materno - Infantil Del H.U. Reina Sofía,Avenida Menéndez Pidal S/N,957010380,140214,Córdoba,14,Córdoba,1,Andalucía,14004,194,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,N,
33,114000532,140039,Hospital Los Morales,Carretera Los Molares S/N,957012042,140214,Córdoba,14,Córdoba,1,Andalucía,14012,19,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,N,
34,114000531,140060,Hospital Provincial,Avenida Menéndez Pidal S/N,957011604,140214,Córdoba,14,Córdoba,1,Andalucía,14004,389,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,N,
35,114000530,140230,Hospital Universitario Reina Sofía,Avenida Menéndez Pidal S/N,957010380,140214,Córdoba,14,Córdoba,1,Andalucía,14004,607,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,N,gerencia.hrs.sspa@juntadeandalucia.es
36,114003703,140263,Hospital Palma Del Rio,Avenida V Califa S/N,000000000,140214,Córdoba,14,Córdoba,1,Andalucía,14700,20,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,S,
37,114003688,140252,Hospital Centro De Andalucía,Calle Pontevedra 1,000000000,140386,Lucena,14,Córdoba,1,Andalucía,14900,196,C11,Hospitales Generales,20,Privados,N,,,N,
38,114000873,140195,Hospital De Montilla,"Carretera Ctra. Montoro-Puente Genil, Km. 65,350 S/N",957022600,140425,Montilla,14,Córdoba,1,Andalucía,14550,92,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,140274.0,Hospital Infanta Margarita,N,
39,114001599,140229,Hospital De Alta Resolución Valle Del Guadiato,Calle Paraje Cerro Del Camello S/N,957579100,140522,Peñarroya-Pueblonuevo,14,Córdoba,1,Andalucía,14200,17,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,140285.0,Hospital Valle De Los Pedroches,N,
40,114000535,140121,Hospital Valle De Los Pedroches,Calle Juan Del Rey Calero S/N,957026306,140543,Pozoblanco,14,Córdoba,1,Andalucía,14400,142,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,140285.0,Hospital Valle De Los Pedroches,N,
41,114001301,140218,Hospital De Alta Resolución  De Puente Genil,Calle Burgos S/N,957615000,140569,Puente Genil,14,Córdoba,1,Andalucía,14500,24,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,140274.0,Hospital Infanta Margarita,N,
42,1215000174,150063,Hospital Quironsalud A Coruña,Calle Londres 2,981219800,150308,"Coruña, A",15,A Coruña,12,Galicia,15009,127,C11,Hospitales Generales,20,Privados,N,,,N,info.acoruna@quironsalud.es
43,1215000175,150079,Hospital San Rafael,Lugar Jubias De Arriba 82,981179000,150308,"Coruña, A",15,A Coruña,12,Galicia,15006,120,C11,Hospitales Generales,20,Privados,N,,,N,ade@imqsanrafael.es
44,1215000176,150354,Hm Modelo-Belén,Calle Virrey Osorio 30,981147300,150308,"Coruña, A",15,A Coruña,12,Galicia,15011,146,C11,Hospitales Generales,20,Privados,N,,,N,rsilva@hmhospitales.com
45,1215000173,150050,Centro Oncoloxico De Galicia,Calle Doctor Camilo Veiras 1,981287499,150308,"Coruña, A",15,A Coruña,12,Galicia,15009,56,C12,Hospitales especializados,20,Privados,N,,,N,contacto@cog.es
46,1215000172,150011,Complexo Hospitalario Universitario A Coruña,Lugar Jubias De Arriba 84,981178000,150308,"Coruña, A",15,A Coruña,12,Galicia,15006,1365,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
47,1215000178,150177,Hospital Ribera Juan Cardona,Calle Pardo Bazán S/N,981312500,150367,Ferrol,15,A Coruña,12,Galicia,15406,150,C11,Hospitales Generales,20,Privados,N,,,N,info@hjcardona.org
48,1215000177,150130,Complexo Hospitalario Universitario De Ferrol,Avenida Residencia S/N,981334000,150367,Ferrol,15,A Coruña,12,Galicia,15405,469,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
49,1215000169,150308,Hestia La Robleda,Lugar Santiso S/N,981585811,150660,"Pino, O",15,A Coruña,12,Galicia,15821,96,C14,Hospitales de salud mental y tratamiento de toxicomanías,20,Privados,N,,,N,
50,1215000182,150336,Hospital Público Da Barbanza,Lugar Salmon S/N,981835985,150737,Ribeira,15,A Coruña,12,Galicia,15993,82,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
51,1215000181,150365,Hospital Hm Rosaleda - Hm La Esperanza,Calle Santiago León De Caracas  1,981551200;981551225,150780,Santiago de Compostela,15,A Coruña,12,Galicia,15701,119,C11,Hospitales Generales,20,Privados,N,,,N,secretaria.direccion.hmgr@hmhospitales.com
52,1215000179,150200,Complexo Hospitalario Universitario De Santiago,Calle Choupana (Da) S/N,981950000,150780,Santiago de Compostela,15,A Coruña,12,Galicia,15706,1143,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
53,816000342,160053,"Hospital Recoletas Cuenca, S.L.U.",Avenida De San Julián 1,969232500,160783,Cuenca,16,Cuenca,8,Castilla-La Mancha,16003,30,C11,Hospitales Generales,20,Privados,N,,,N,olga.barrios.aj@gruporecoletas.com
54,816000170,160014,Hospital Virgen De La Luz,Calle Hermandad Donantes De Sangre 1,969179900,160783,Cuenca,16,Cuenca,8,Castilla-La Mancha,16002,388,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
55,917000807,170097,Clínica Salus Infirmorum,Paseo Mossen Lluis Constans 130,972570208,170157,Banyoles,17,Girona,9,Cataluña,17820,100,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,si.direc@teleline.es
56,917000823,170237,Hospital Comarcal De Blanes,Carretera Acces Cala Sant Francesc 5,972353264,170237,Blanes,17,Girona,9,Cataluña,17300,121,C11,Hospitales Generales,8,Otras Entidades U Organismos Públicos,N,,,N,csselva@conecta.es
57,917000808,170101,Hospital De Sant Jaume,Calle Jaume Arcelos 1,972331550,170237,Blanes,17,Girona,9,Cataluña,17300,23,C13,Hospitales de media y larga estancia,8,Otras Entidades U Organismos Públicos,N,,,N,salut@salutms.cat
58,917000809,170118,Hospital De Campdevanol,Carretera De Gombren 20,972730028,170366,Campdevànol,17,Girona,9,Cataluña,17530,80,C11,Hospitales Generales,20,Privados,N,,,N,gerencia@hoscamp.com
59,917000810,170123,Hospital De Figueres,Ronda Rector Arolas S/N,972501400,170669,Figueres,17,Girona,9,Cataluña,17600,168,C11,Hospitales Generales,20,Privados,N,,,N,direccio@hospfig.es
60,917000827,170288,Centre Sociosanitari Bernat Jaume,Ronda Rector Arolas S/N,972501400,170669,Figueres,17,Girona,9,Cataluña,17600,121,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,hospital@hospitaldefigueres.com
61,917000811,170139,Clínica Santa Creu,"Calle Pere Wii, 41",972503650,170669,Figueres,17,Girona,9,Cataluña,17600,35,C11,Hospitales Generales,20,Privados,N,,,N,administracio@clinicasantacreu.com
62,917000815,170062,Clínica Quirúrgica Onyar,Calle Heroines De Santa Bárbara 6,972204900,170792,Girona,17,Girona,9,Cataluña,17004,38,C11,Hospitales Generales,20,Privados,N,,,N,documentalista@giroclinic.com
63,917000814,170059,Clínica Girona,Calle Joan  Maragall 26,972204500,170792,Girona,17,Girona,9,Cataluña,17002,123,C11,Hospitales Generales,20,Privados,N,,,N,cespigol@arrakis.es
64,917000825,170255,Hospital Sociosanitari Mutuam Girona,Avenida Franca 64,972171819,170792,Girona,17,Girona,9,Cataluña,17007,104,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,mutuam@mutuam.com
65,917000824,170242,Residencia Geriátrica María Gay,Calle Portal Nou 12,972205045,170792,Girona,17,Girona,9,Cataluña,17004,24,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,info.mgay@irsjg.org
66,917000812,170031,Clínica Bofill,Ronda Sant Antoni María Claret 20,972204350,170792,Girona,17,Girona,9,Cataluña,17002,47,C11,Hospitales Generales,20,Privados,N,,,N,administracio@clinicabofill.net
67,917000828,170299,Institut Catalá D'Oncologia Girona - Hospital Josep Trueta,Avenida Franca S/N,972940200,170792,Girona,17,Girona,9,Cataluña,17007,26,C12,Hospitales especializados,8,Otras Entidades U Organismos Públicos,N,,,N,ccalle@iconcologia.net
68,917000822,170221,Residencia De Gent Gran Puig D'En Roca,Calle Antoni Vares I Martinell 37,972209250,170792,Girona,17,Girona,9,Cataluña,17007,55,C13,Hospitales de media y larga estancia,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,rgg_puigroca.benestar@gencat.cat
69,917000813,170010,Hospital Universitari De Girona Dr. Josep Trueta,Avenida Franca S/N,972940200,170792,Girona,17,Girona,9,Cataluña,17007,431,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,gerencia@htrueta.scs.es
70,917000818,170160,Hospital Sociosanitari De Lloret De Mar,"Calle Vall De Venecia, 59",972364736,170950,Lloret de Mar,17,Girona,9,Cataluña,17310,63,C13,Hospitales de media y larga estancia,8,Otras Entidades U Organismos Públicos,N,,,N,salut@salutms.org
71,917000819,170176,Hospital D'Olot I Comarcal De La Garrotxa,Avenida Paseos  Catalans 86,972261800,171143,Olot,17,Girona,9,Cataluña,17800,137,C11,Hospitales Generales,20,Privados,N,,,N,direccio@hospiolot.com
72,917000820,170195,Hospital De Palamós,Calle Hospital. 36,972600160,171181,Palamós,17,Girona,9,Cataluña,17230,136,C11,Hospitales Generales,20,Privados,N,,,N,direccio@hosppal.es
73,917000830,170312,Centre Palamós Gent Gran,Calle Provença 36,972600160,171181,Palamós,17,Girona,9,Cataluña,17230,100,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,ncomes@ssibe.cat
74,917000826,170277,Centre Sociosanitari De Puigcerdà,Camino Antic De Llivia S/N,972880150,171411,Puigcerdà,17,Girona,9,Cataluña,17520,52,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,jcatala@hospitalpuigcerda.com
75,917001139,170334,Hospital De Cerdanya / Hospital De Cerdagne,Camino D'Ur 31,972114090,171411,Puigcerdà,17,Girona,9,Cataluña,17520,66,C11,Hospitales Generales,8,Otras Entidades U Organismos Públicos,N,,,N,dir@hcerdanya.eu
76,917000816,170301,Hospital Santa Caterina-Ias,Avenida Doctor Castany (P. H. Martín­ I Juliá ) S/N,972182600,171557,Salt,17,Girona,9,Cataluña,17190,178,C11,Hospitales Generales,8,Otras Entidades U Organismos Públicos,N,,,N,gerencia@ias.scs.es
77,917000829,170323,Centre Sociosanitari Parc Hospitalari Marti I Julia,Calle Dr. Castany S/N,972182512,171557,Salt,17,Girona,9,Cataluña,17190,120,C13,Hospitales de media y larga estancia,8,Otras Entidades U Organismos Públicos,N,,,N,atenciousuari@ias.scs.es
78,917000817,170216,Hospital Psiquiatric,"Calle Doctor Castany, S/N",972182512,171557,Salt,17,Girona,9,Cataluña,17190,593,C14,Hospitales de salud mental y tratamiento de toxicomanías,8,Otras Entidades U Organismos Públicos,N,,,N,atenciousuari@ias.scs.es
79,118000554,180093,Hospital De Baza,"Carretera Murcia, Km. 1,6 S/N",958031303,180233,Baza,18,Granada,1,Andalucía,18800,117,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
80,118000553,180074,Hospital De La Inmaculada Concepción,Calle Doctor Alejandro Otero 8,958187712,180877,Granada,18,Granada,1,Andalucía,18004,95,C11,Hospitales Generales,20,Privados,N,,,N,informacion@hospital-inmaculada.es
81,118004282,180146,Hospital Vithas Granada,Avenida Santa María De La Alhambra S/N,958001450,180877,Granada,18,Granada,1,Andalucía,18008,77,C11,Hospitales Generales,20,Privados,N,,,N,torresm@vithas.es
82,118000563,180055,Hospital San Rafael,Calle San Juan De Dios 19-23,958275700,180877,Granada,18,Granada,1,Andalucía,18001,166,C11,Hospitales Generales,20,Privados,N,,,N,centrosanrafael@sjd.es
83,118004562,180150,Hospital Universitario Clínico San Cecilio,Avenida De La Investigación S/N,958021702,180877,Granada,18,Granada,1,Andalucía,18016,543,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,180177.0,Hospital Universitario Clínico San Cecilio,N,
84,118004856,180042,Hospital  De Neurotraumatología Y Rehabilitación Del H.U. Virgen De Las Nieves,Carretera De Jaén S/N,958020000,180877,Granada,18,Granada,1,Andalucía,18013,241,C12,Hospitales especializados,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,180188.0,Hospital Universitario Virgen De Las Nieves,N,
85,118000560,180166,Hospital Materno-Infantil Del H.U. Virgen De Las Nieves,Avenida De Las Fuerzas Armadas 2,000000000,180877,Granada,18,Granada,1,Andalucía,18014,230,C12,Hospitales especializados,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,180188.0,Hospital Universitario Virgen De Las Nieves,N,jlsalce@hvn.sas.junta-andalucia.es
86,118000556,180016,Hospital Universitario Virgen De Las Nieves,Avenida De Las Fuerzas Armadas 2,958020000,180877,Granada,18,Granada,1,Andalucía,18014,711,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,180188.0,Hospital Universitario Virgen De Las Nieves,N,jluis.martinez.sspa@juntadeandalucia.es
87,118000555,180021,Hospital San Cecilio,Avenida Doctor Oloriz 16,958023000,180877,Granada,18,Granada,1,Andalucía,18012,493,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,husc.sspa@juntadeandalucia.es
88,118001566,180122,Hospital De Alta Resolución De  Guadix,Avenida Mariana Pineda S/N,958699136,180896,Guadix,18,Granada,1,Andalucía,18500,50,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,180188.0,Hospital Universitario Virgen De Las Nieves,N,sugerencias@ephpo.es
89,118004203,180133,Hospital De Alta Resolución De Loja,Avenida Tierno Galván S/N,958338150,181226,Loja,18,Granada,1,Andalucía,18300,22,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,S,180177.0,Hospital Universitario Clínico San Cecilio,N,
90,118000562,180107,Hospital Santa Ana,Avenida Enrique Martin Cuevas S/N,958038200,181400,Motril,18,Granada,1,Andalucía,18600,184,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,francisco.perez.saez.sspa@juntadeandaluc
91,819000193,190045,Clínica Doctor Sanz Vázquez,Paseo Doctor Fernández Iparraguirre 6,949227200,191305,Guadalajara,19,Guadalajara,8,Castilla-La Mancha,19001,40,C11,Hospitales Generales,20,Privados,N,,,N,daniel.fernandezsalinas@grupohla.com
92,819000025,190030,Clínica La Antigua,Calle Constitución 18,949223600,191305,Guadalajara,19,Guadalajara,8,Castilla-La Mancha,19003,34,C11,Hospitales Generales,20,Privados,N,,,N,gerencia@clinicalaantigua.es
93,819000010,190077,Instituto De Enfermedades Neurológicas De Castilla-La Mancha,Paseo De La Estación 2,949211500,191305,Guadalajara,19,Guadalajara,8,Castilla-La Mancha,19004,147,C13,Hospitales de media y larga estancia,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
94,819000009,190019,Hospital Universitario De Guadalajara,Avenida Donantes De Sangre S/N,949209200,191305,Guadalajara,19,Guadalajara,8,Castilla-La Mancha,19002,432,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,hospital.guadalajara@sescam.jccm.es
95,819000180,190061,U.R.R. De Enfermos Psíquicos Alcohete,Paseo Conde Romanones  S/N,949291136,193264,Yebes,19,Guadalajara,8,Castilla-La Mancha,19141,165,C14,Hospitales de salud mental y tratamiento de toxicomanías,4,Otros Centros O Establecimientos Públicos De Dependencia Autonómica,N,,,N,mvpchaves@jccm.es
96,1620000014,200198,Hospital Aita Menni,Calle Gesalibar 15,943794411,200551,Arrasate/Mondragón,20,Guipúzcoa,16,País Vasco,20509,437,C14,Hospitales de salud mental y tratamiento de toxicomanías,22,Organizaciones No Gubernamentales,N,,,N,hospital@aita-menni.org
97,1620000015,200202,Hospital Psiquiátrico San Juan De Dios,Calle Gesalibar ( Au/Ba ) 14,943793078;943793900,200551,Arrasate/Mondragón,20,Guipúzcoa,16,País Vasco,20509,276,C14,Hospitales de salud mental y tratamiento de toxicomanías,22,Organizaciones No Gubernamentales,N,,,N,mondragon.hospital@hsjd.es
98,1620000007,200185,Organización Sanitaria Integrada Debagoiena,"Avenida Nafarroa, Avenida/Etorbidea 16",943035300,200551,Arrasate/Mondragón,20,Guipúzcoa,16,País Vasco,20500,95,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,direccion.haltodeba@osakidetza.eus
99,1620000013,200271,Hospital San Juan De Dios Donostia,Calle Camino San Juan De Dios 12,943460033,200697,Donostia/San Sebastián,20,Guipúzcoa,16,País Vasco,20009,81,C14,Hospitales de salud mental y tratamiento de toxicomanías,22,Organizaciones No Gubernamentales,N,,,N,ss.hospital@hsjd.es
100,1620000001,200049,Mutualia Clínica Pakea,Calle Paseo De Arriola 26,902540250;943212600,200697,Donostia/San Sebastián,20,Guipúzcoa,16,País Vasco,20018,19,C12,Hospitales especializados,21,Mutuas Colaboradoras Con La Seguridad Social,N,,,N,clinica@pakea.es
101,1620000012,200071,Hospital Ricardo Bermingham,"Camino Los Pinos, Camino/Bidea 35",943317102,200697,Donostia/San Sebastián,20,Guipúzcoa,16,País Vasco,20018,123,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,elena.fernandez@matiafundazioa.net
102,1620000002,200104,Policlínica Gipuzkoa,"Paseo Miramón, Paseo/Pasealekua 174",943002800;943309550,200697,Donostia/San Sebastián,20,Guipúzcoa,16,País Vasco,20009,149,C11,Hospitales Generales,20,Privados,N,,,N,sonia.roussel@quironsalud.es
103,1620000011,200132,Fundación Onkologikoa Fundazioa,"Paseo Doctor Begiristain, Paseo/Pasealekua 121",943328000,200697,Donostia/San Sebastián,20,Guipúzcoa,16,País Vasco,20014,26,C12,Hospitales especializados,20,Privados,N,,,N,kvicario@onkologikoa.org
